card_code,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_sum,segment,gender,date_of_birth,age
2717041000040,33,9,18950.0,2,1,1,211,4,Leaving Customers,Female,,
2717041000088,198,1,3190.0,1,1,1,111,3,Leaving Customers,Male,,
2717041000095,78,2,10450.0,1,1,1,111,3,Leaving Customers,Male,,
2717041000149,16,13,19680.0,3,1,1,311,5,Leaving Customers,Female,,
2717041000163,1,25,80465.0,5,2,2,522,9,Potential Loyalists,Female,,
2717041000187,37,10,4001.0,2,1,1,211,4,Leaving Customers,Female,,
2717041000194,4,11,29055.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041000217,52,22,23565.0,2,2,1,221,5,Leaving Customers,Female,,
2717041000231,4,11,27075.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041000286,12,12,26010.0,4,1,1,411,6,Leaving Customers,,,
2717041000293,1,6,28780.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041000309,5,35,55409.0,4,2,2,422,8,Potential Loyalists,Female,,
2717041000316,16,21,81960.0,3,2,2,322,7,Potential Loyalists,Male,,
2717041000323,3,45,70330.0,5,3,2,532,10,Potential Loyalists,Female,,
2717041000347,1,24,46315.0,5,2,1,521,8,Potential Loyalists,Female,,
2717041000408,9,23,42645.0,4,2,1,421,7,Potential Loyalists,Female,,
2717041000415,12,13,14810.0,4,1,1,411,6,Leaving Customers,Female,,
2717041000422,2,10,10935.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041000453,222,1,1.0,1,1,1,111,3,Leaving Customers,Female,,
2717041000477,68,1,4385.0,1,1,1,111,3,Leaving Customers,Female,,
2717041000538,4,14,18016.0,5,1,1,511,7,Potential Loyalists,Female,,
2717041000606,14,1,1560.0,4,1,1,411,6,Leaving Customers,Female,,
2717041000644,48,1,2550.0,2,1,1,211,4,Leaving Customers,Male,,
2717041000651,119,3,6010.0,1,1,1,111,3,Leaving Customers,Female,,
2717041000668,85,6,23630.0,1,1,1,111,3,Leaving Customers,Female,,
2717041000705,44,2,1230.0,2,1,1,211,4,Leaving Customers,Female,,
2717041000712,4,43,120788.0,5,3,3,533,11,Potential Loyalists,Female,,
2717041000736,4,38,82131.0,5,2,2,522,9,Potential Loyalists,Female,,
