card_code,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_sum,segment
2717111040037.0,37,5,16930.0,3,3,3,333,9,Loyal
2717111040051.0,21,8,32188.61,4,4,4,444,12,Champions
2717111040075.0,40,5,25172.55,3,3,4,334,10,Loyal
2717111040112.0,2,152,133542.84,5,5,5,555,15,Champions
2717111040129.0,30,2,12185.0,3,1,3,313,7,Potential
2717111040181.0,50,2,6470.0,3,1,2,312,6,Potential
2717111040198.0,116,1,3270.0,1,1,1,111,3,Lost
2717111040235.0,13,39,50709.26,4,5,5,455,14,Champions
2717111040310.0,50,1,5320.0,3,1,2,312,6,Potential
2717111040327.0,9,6,21224.5,4,3,4,434,11,Loyal
2717111040334.0,5,5,10130.0,5,3,2,532,10,Loyal
2717111040372.0,16,9,47950.0,4,4,5,445,13,Champions
2717111040389.0,10,4,8095.3,4,3,2,432,9,Loyal
2717111040426.0,164,3,6698.32,1,2,2,122,5,At Risk
2717111040471.0,1,147,267015.07,5,5,5,555,15,Champions
2717111040495.0,28,5,4990.96,3,3,2,332,8,Potential
2717111040525.0,74,5,2780.0,2,3,1,231,6,Potential
2717111040570.0,4,17,30958.41,5,5,4,554,14,Champions
2717111040587.0,3,12,71050.0,5,4,5,545,14,Champions
2717111040648.0,2,26,95205.0,5,5,5,555,15,Champions
2717111040662.0,107,4,19019.3,2,3,3,233,8,Potential
2717111040686.0,121,3,17360.85,1,2,3,123,6,Potential
2717111040709.0,224,1,650.0,1,1,1,111,3,Lost
2717111040723.0,105,8,12980.0,2,4,3,243,9,Loyal
2717111040785.0,194,1,1070.0,1,1,1,111,3,Lost
2717111040822.0,1,27,25563.26,5,5,4,554,14,Champions
2717111040839.0,55,4,33725.0,2,3,4,234,9,Loyal
2717111040884.0,10,11,30497.8,4,4,4,444,12,Champions
2717111040921.0,145,3,3355.66,1,2,1,121,4,At Risk
2717111040945.0,77,1,1460.0,2,1,1,211,4,At Risk
2717111040952.0,121,5,26460.0,1,3,4,134,8,Potential
2717111040990.0,107,7,35759.44,2,4,4,244,10,Loyal
2717111041027.0,3,7,34135.0,5,4,4,544,13,Champions
2717111041034.0,2,5,39956.06,5,3,4,534,12,Champions
2717111041072.0,219,1,2750.0,1,1,1,111,3,Lost
2717111041096.0,64,2,6290.0,2,1,2,212,5,At Risk
2717111041157.0,5,2,2750.0,5,1,1,511,7,Potential
2717111041164.0,29,3,4550.0,3,2,2,322,7,Potential
2717111041201.0,36,7,22153.0,3,4,4,344,11,Loyal
2717111041218.0,91,12,40031.520000000004,2,4,4,244,10,Loyal
2717111041287.0,45,11,72930.0,3,4,5,345,12,Champions
2717111041317.0,10,2,9280.0,4,1,2,412,7,Potential
2717111041362.0,2,22,59093.82,5,5,5,555,15,Champions
2717111041379.0,142,2,12532.5,1,1,3,113,5,At Risk
2717111041409.0,31,1,2720.0,3,1,1,311,5,At Risk
